                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.72298,                0.47856,                 1.0822,                0.88496,                   0.95,                0.97598,                0.69205,                  1.105,                 1.7302,                 2.0465,               0.008614,               0.008614,               0.008614
                     72,                0.81401,                0.58137,                 1.1493,                0.88496,                   0.95,                0.97598,                0.69205,                  1.105,                 1.7302,                 2.0465,              0.0085942,              0.0085942,              0.0085942
                     73,                0.71123,                0.47856,                 1.0534,                0.95032,                0.95666,                0.99262,                0.75721,                0.97408,                 1.1117,                 1.7418,              0.0085744,              0.0085744,              0.0085744
                     74,                0.76414,                0.51524,                 1.0978,                0.82116,                    0.9,                0.93935,                0.68686,                 1.0565,                 1.2757,                 1.8658,              0.0085546,              0.0085546,              0.0085546
                     75,                0.74086,                0.50861,                  1.134,                 0.8905,                    0.9,                0.95869,                0.74648,                0.95873,                0.97087,                 1.6761,              0.0085348,              0.0085348,              0.0085348
                     76,                0.69516,                0.52976,                 1.1115,                 0.8905,                    0.9,                0.95869,                0.74648,                0.95873,                0.97087,                 1.6761,               0.008515,               0.008515,               0.008515
                     77,                0.71946,                0.55229,                 1.1001,                0.89662,                   0.95,                0.94611,                0.72103,                 0.9968,                 1.3361,                 1.7162,              0.0084952,              0.0084952,              0.0084952
                     78,                0.76443,                0.48794,                 1.1477,                0.86419,                    0.9,                0.94509,                0.71418,                0.97007,                 1.1183,                 1.6773,              0.0084754,              0.0084754,              0.0084754
                     79,                0.77675,                0.53768,                 1.1346,                0.93784,                   0.95,                0.94351,                0.73232,                 0.9562,                0.80952,                 1.5419,              0.0084556,              0.0084556,              0.0084556
                     80,                0.71789,                0.49408,                 1.0773,                0.93784,                   0.95,                0.94351,                0.73232,                 0.9562,                0.80952,                 1.5419,              0.0084358,              0.0084358,              0.0084358
                     81,                0.69244,                0.47605,                 1.0986,                 0.8621,                   0.95,                0.94321,                0.64612,                 1.1038,                 1.0883,                 1.7823,               0.008416,               0.008416,               0.008416
                     82,                0.79095,                0.54772,                 1.1265,                0.99344,                   0.95,                0.97948,                0.71779,                0.99863,                0.80012,                 1.4356,              0.0083962,              0.0083962,              0.0083962
                     83,                0.73042,                0.55418,                 1.0711,                0.98601,                   0.95,                0.97833,                 0.7477,                0.87644,                0.87611,                 1.2757,              0.0083764,              0.0083764,              0.0083764
                     84,                0.72834,                0.50789,                 1.0947,                0.98601,                   0.95,                0.97833,                 0.7477,                0.87644,                0.87611,                 1.2757,              0.0083566,              0.0083566,              0.0083566
                     85,                0.69868,                0.47533,                 1.0687,                0.97159,                   0.95,                0.99045,                0.75533,                0.89922,                0.77904,                 1.3956,              0.0083368,              0.0083368,              0.0083368
                     86,                0.75634,                0.51269,                 1.1316,                      1,                0.99231,                  0.995,                0.76157,                0.88278,                 0.7624,                  1.397,               0.008317,               0.008317,               0.008317
